Time, Temp C, Humidity %
02-13 12:10,19,28
02-13 12:20,19,29
02-13 12:30,19,28
02-13 12:40,18,27
02-13 12:50,20,27
02-13 13:00,20,30
02-13 13:10,21,27
02-13 13:20,23,28
02-13 13:30,20,27
02-13 13:40,21,27
02-13 13:50,22,27
02-13 14:00,23,26
02-13 14:10,23,25
02-13 14:20,21,28
02-13 14:30,23,27
02-13 14:40,23,26
02-13 14:50,21,26
02-13 15:00,22,26
02-13 15:10,21,26
02-13 15:20,20,26
02-13 15:30,20,26
02-13 15:40,19,26
02-13 15:50,18,25
02-13 16:00,19,25
02-13 16:10,20,26
02-13 16:20,16,27
02-13 16:30,17,26
02-13 16:40,16,25
02-13 16:50,15,26
02-13 17:00,16,25
02-13 17:10,17,26
02-13 17:20,16,26
02-13 17:30,16,26
02-13 17:40,15,23
02-13 17:50,14,26
02-13 18:00,13,26
02-13 18:10,14,25
02-13 18:20,13,26
02-13 18:30,12,25
02-13 18:40,14,26
02-13 18:50,13,26
02-13 19:00,12,25
02-13 19:10,11,26
02-13 19:20,12,26
02-13 19:30,10,25
02-13 19:40,11,26
02-13 19:50,10,26
